N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"79,900",600,-0.75%,100,"4,769,856","5,969,783",53.73,"6,761,427",19.18,9.99,
2,SK하이닉스,"122,000","2,500",-2.01%,"5,000","888,163","728,002",49.45,"1,527,015",17.42,9.53,
3,카카오,"155,000",0,0.00%,100,"688,091","443,930",33.04,"4,463,673",225.62,2.70,
4,NAVER,"395,000","3,000",-0.75%,100,"648,840","164,263",56.89,"416,980",4.02,15.22,
5,삼성전자우,"73,700",300,-0.41%,100,"606,467","822,887",76.51,"481,540",17.70,N/A,
6,LG화학,"822,000",0,0.00%,"5,000","580,269","70,592",46.05,"61,647",35.78,2.93,
7,삼성바이오로직스,"831,000","5,000",-0.60%,"2,500","549,831","66,165",10.04,"17,438",207.23,N/A,
8,현대차,"233,500","1,500",-0.64%,"5,000","498,915","213,668",29.75,"361,416",28.26,2.04,
9,삼성SDI,"682,000","8,000",+1.19%,"5,000","468,974","68,765",42.74,"194,421",66.80,4.54,
10,셀트리온,"274,000","4,000",+1.48%,"1,000","377,891","137,917",20.72,"292,482",62.86,16.68,
11,기아,"87,300","1,200",-1.36%,"5,000","353,882","405,363",33.53,"947,171",15.68,5.05,
12,POSCO,"335,500","4,500",-1.32%,"5,000","292,512","87,187",53.74,"162,031",13.11,3.61,
13,현대모비스,"285,500","1,500",-0.52%,"5,000","270,634","94,793",36.53,"132,976",15.24,4.66,
14,LG생활건강,"1,711,000","10,000",+0.59%,"5,000","267,227","15,618",46.13,"14,756",36.88,17.92,
15,LG전자,"162,000","5,000",+3.18%,"5,000","265,109","163,648",30.76,"1,359,336",15.09,13.23,
16,SK이노베이션,"275,500","1,500",-0.54%,"5,000","254,743","92,466",23.33,"276,264",-26.05,-13.58,
17,삼성물산,"133,500","2,500",-1.84%,100,"249,494","186,887",14.70,"187,080",15.90,3.81,
18,KB금융,"55,700","1,100",-1.94%,"5,000","231,605","415,808",68.94,"543,317",5.80,8.53,
19,SK텔레콤,"320,500","6,000",-1.84%,500,"230,953","72,060",45.57,"105,226",14.76,6.44,
20,신한지주,"40,000","1,100",-2.68%,"5,000","206,640","516,600",60.81,"1,108,224",5.61,8.20,
21,SK,"276,500","5,500",-1.95%,200,"194,546","70,360",20.30,"87,756",32.20,1.11,
22,엔씨소프트,"819,000","1,000",+0.12%,500,"179,803","21,954",51.83,"19,633",38.03,20.83,
23,LG,"104,500","1,000",+0.97%,"5,000","164,380","157,301",33.52,"147,819",9.59,7.50,
24,한국전력,"25,350","1,550",-5.76%,"5,000","162,738","641,964",15.75,"7,191,142",7.92,2.91,
25,아모레퍼시픽,"276,000","5,500",-1.95%,500,"161,345","58,458",33.85,"49,875",193.14,0.78,
26,삼성생명,"78,700","1,300",-1.62%,500,"157,400","200,000",13.26,"181,502",7.41,3.53,
27,HMM,"43,750",650,-1.46%,"5,000","151,109","345,392",12.43,"2,024,761",41.47,8.93,
28,삼성에스디에스,"185,500",500,-0.27%,500,"143,536","77,378",11.67,"57,442",22.81,6.71,
29,하나금융지주,"44,900",400,-0.88%,"5,000","134,809","300,242",68.39,"453,327",4.79,8.96,
30,삼성전기,"175,000","3,500",-1.96%,"5,000","130,714","74,694",31.07,"154,823",19.26,10.92,
31,포스코케미칼,"150,500","1,000",+0.67%,500,"116,582","77,463",7.77,"152,116",180.89,2.96,
32,KT&G,"84,900",100,-0.12%,"5,000","116,561","137,292",38.54,"224,077",10.12,13.22,
33,넷마블,"135,000",500,+0.37%,100,"116,037","85,954",22.91,"128,435",36.72,6.35,
34,SK바이오사이언스,"151,500","1,000",-0.66%,500,"115,898","76,500",3.33,"209,160",117.72,13.25,
35,SK아이이테크놀로지,"158,500",500,+0.32%,"1,000","113,007","71,298",5.19,"222,357",N/A,11.00,
36,S-Oil,"100,000",0,0.00%,"2,500","112,583","112,583",77.23,"100,688",27.17,-13.07,
37,하이브,"313,500",500,+0.16%,500,"111,680","35,624",12.95,"330,441",111.53,12.52,
38,대한항공,"32,050","1,100",-3.32%,"5,000","111,477","347,821",10.94,"2,123,423",13.70,-7.22,
39,두산중공업,"25,350",100,+0.40%,"5,000","107,100","422,483",7.10,"6,679,268",-14.24,-37.20,
40,삼성화재,"213,000","2,000",+0.95%,500,"100,908","47,375",47.75,"34,560",10.61,4.96,
41,SK바이오팜,"126,500","1,000",-0.78%,500,"99,066","78,313",7.24,"150,723",-183.60,-135.18,
42,한온시스템,"18,300",200,+1.10%,100,"97,685","533,800",19.16,"1,423,422",72.33,5.09,
43,한국조선해양,"131,500","1,000",-0.75%,"5,000","93,067","70,773",17.98,"162,048",-10.07,-7.42,
44,롯데케미칼,"269,000","3,500",-1.28%,"5,000","92,201","34,275",26.23,"52,866",12.42,1.22,
45,한화솔루션,"46,900",0,0.00%,"5,000","89,710","191,278",17.25,"1,182,674",12.57,5.30,
46,LG디스플레이,"24,850",500,+2.05%,"5,000","88,917","357,816",19.91,"6,467,547",26.32,-0.79,
47,KT,"31,950",750,-2.29%,"5,000","83,425","261,112",43.98,"589,458",11.09,4.76,
48,우리금융지주,"11,400",200,-1.72%,"5,000","82,339","722,268",26.17,"659,208",5.65,5.87,
49,고려아연,"428,000","6,000",-1.38%,"5,000","80,764","18,870",21.49,"17,068",12.53,8.37,
50,기업은행,"10,350",150,-1.43%,"5,000","77,035","744,301",12.74,"925,958",5.07,6.44,
